江苏电信,#genre#
CCTV1综合,http://121.237.53.178:8888/rtp/239.49.0.1:8000#http://121.237.53.178:8888/rtp/239.49.1.1:6000
CCTV2财经,http://121.237.53.178:8888/rtp/239.49.0.2:8008#http://121.237.53.178:8888/rtp/239.49.1.2:6000
CCTV4中文国际,http://121.237.53.178:8888/rtp/239.49.0.4:8024#http://121.237.53.178:8888/rtp/239.49.1.4:6000
CCTV5体育频道,http://121.237.53.178:8888/rtp/239.49.0.5:9570#http://121.237.53.178:8888/rtp/239.49.1.5:6000
CCTV7军事农业,http://121.237.53.178:8888/rtp/239.49.0.7:8048#http://121.237.53.178:8888/rtp/239.49.1.7:6000
CGTN,http://121.237.53.178:8888/rtp/239.49.0.9:8064#http://121.237.53.178:8888/rtp/239.49.1.9:6000
CCTV10科教,http://121.237.53.178:8888/rtp/239.49.0.10:8072#http://121.237.53.178:8888/rtp/239.49.1.10:6000
CCTV12社会与法,http://121.237.53.178:8888/rtp/239.49.0.12:8088#http://121.237.53.178:8888/rtp/239.49.1.12:6000
CCTV14少儿,http://121.237.53.178:8888/rtp/239.49.0.14:8104#http://121.237.53.178:8888/rtp/239.49.1.14:6000
CETV1,http://121.237.53.178:8888/rtp/239.49.0.70:8552#http://121.237.53.178:8888/rtp/239.49.1.54:6000
CETV2,http://121.237.53.178:8888/rtp/239.49.0.71:8560#http://121.237.53.178:8888/rtp/239.49.1.55:6000
CETV4,http://121.237.53.178:8888/rtp/239.49.0.72:8568#http://121.237.53.178:8888/rtp/239.49.1.56:6000
中国天气,http://121.237.53.178:8888/rtp/239.49.1.58:6000
江苏卫视,http://121.237.53.178:8888/rtp/239.49.0.16:8120#http://121.237.53.178:8888/rtp/239.49.0.126:8000#http://121.237.53.178:8888/rtp/239.49.1.16:6000
东方卫视,http://121.237.53.178:8888/rtp/239.49.0.48:8376#http://121.237.53.178:8888/rtp/239.49.1.32:6000
东方卫视录播?-标清,http://121.237.53.178:8888/rtp/239.49.1.216:6000
北京卫视,http://121.237.53.178:8888/rtp/239.49.0.49:8384#http://121.237.53.178:8888/rtp/239.49.1.33:6000
浙江卫视,http://121.237.53.178:8888/rtp/239.49.0.50:8392#http://121.237.53.178:8888/rtp/239.49.1.34:6000
辽宁卫视,http://121.237.53.178:8888/rtp/239.49.0.51:8400#http://121.237.53.178:8888/rtp/239.49.1.35:6000
安徽卫视,http://121.237.53.178:8888/rtp/239.49.0.52:8408#http://121.237.53.178:8888/rtp/239.49.1.36:6000
山东卫视,http://121.237.53.178:8888/rtp/239.49.0.53:8416#http://121.237.53.178:8888/rtp/239.49.1.37:6000
湖南卫视,http://121.237.53.178:8888/rtp/239.49.0.54:8424#http://121.237.53.178:8888/rtp/239.49.1.38:6000
广东卫视,http://121.237.53.178:8888/rtp/239.49.0.55:8432#http://121.237.53.178:8888/rtp/239.49.1.39:6000
广西卫视,http://121.237.53.178:8888/rtp/239.49.0.56:8440#http://121.237.53.178:8888/rtp/239.49.1.40:6000
旅游卫视,http://121.237.53.178:8888/rtp/239.49.0.57:8448#http://121.237.53.178:8888/rtp/239.49.1.41:6000
重庆卫视,http://121.237.53.178:8888/rtp/239.49.0.58:8456#http://121.237.53.178:8888/rtp/239.49.1.42:6000
四川卫视,http://121.237.53.178:8888/rtp/239.49.0.59:8464#http://121.237.53.178:8888/rtp/239.49.1.43:6000
河南卫视,http://121.237.53.178:8888/rtp/239.49.0.60:8472#http://121.237.53.178:8888/rtp/239.49.1.44:6000
东南卫视,http://121.237.53.178:8888/rtp/239.49.0.61:8480#http://121.237.53.178:8888/rtp/239.49.1.45:6000
天津卫视,http://121.237.53.178:8888/rtp/239.49.0.62:8488#http://121.237.53.178:8888/rtp/239.49.1.46:6000
江西卫视,http://121.237.53.178:8888/rtp/239.49.0.63:8496#http://121.237.53.178:8888/rtp/239.49.1.47:6000
湖北卫视,http://121.237.53.178:8888/rtp/239.49.0.64:8504#http://121.237.53.178:8888/rtp/239.49.1.48:6000
吉林卫视,http://121.237.53.178:8888/rtp/239.49.0.65:8512#http://121.237.53.178:8888/rtp/239.49.1.49:6000#http://121.237.53.178:8888/rtp/239.49.8.254:7000
黑龙江卫视,http://121.237.53.178:8888/rtp/239.49.0.66:8520#http://121.237.53.178:8888/rtp/239.49.1.50:6000
山西卫视,http://121.237.53.178:8888/rtp/239.49.0.67:8528#http://121.237.53.178:8888/rtp/239.49.1.51:6000
贵州卫视,http://121.237.53.178:8888/rtp/239.49.0.68:8536#http://121.237.53.178:8888/rtp/239.49.1.52:6000
青海卫视,http://121.237.53.178:8888/rtp/239.49.0.69:8544#http://121.237.53.178:8888/rtp/239.49.1.53:6000
河北卫视,http://121.237.53.178:8888/rtp/239.49.0.170:8000#http://121.237.53.178:8888/rtp/239.49.1.236:6000
宁夏卫视,http://121.237.53.178:8888/rtp/239.49.0.171:8000#http://121.237.53.178:8888/rtp/239.49.1.237:6000
甘肃卫视,http://121.237.53.178:8888/rtp/239.49.0.172:8000#http://121.237.53.178:8888/rtp/239.49.1.238:6000
新疆卫视,http://121.237.53.178:8888/rtp/239.49.0.178:8000#http://121.237.53.178:8888/rtp/239.49.1.239:6000
内蒙古卫视,http://121.237.53.178:8888/rtp/239.49.0.180:8000#http://121.237.53.178:8888/rtp/239.49.1.240:6000
陕西卫视,http://121.237.53.178:8888/rtp/239.49.1.248:6000#http://121.237.53.178:8888/rtp/239.49.0.233:8000
深圳卫视,http://121.237.53.178:8888/rtp/239.49.0.100:8788#http://121.237.53.178:8888/rtp/239.49.1.59:6000
云南卫视,http://121.237.53.178:8888/rtp/239.49.0.147:8000#http://121.237.53.178:8888/rtp/239.49.1.235:6000
凤凰卫视?,http://121.237.53.178:8888/rtp/239.49.1.144:6000
江苏学习频道,http://121.237.53.178:8888/rtp/239.49.1.124:6000
江苏城市,http://121.237.53.178:8888/rtp/239.49.0.17:8128#http://121.237.53.178:8888/rtp/239.49.1.17:6000
江苏综艺,http://121.237.53.178:8888/rtp/239.49.0.18:8136#http://121.237.53.178:8888/rtp/239.49.1.18:6000
江苏体育休闲,http://121.237.53.178:8888/rtp/239.49.0.19:8144#http://121.237.53.178:8888/rtp/239.49.1.19:6000
江苏影视,http://121.237.53.178:8888/rtp/239.49.0.20:8152#http://121.237.53.178:8888/rtp/239.49.1.20:6000
优漫卡通,http://121.237.53.178:8888/rtp/239.49.0.21:8160#http://121.237.53.178:8888/rtp/239.49.1.21:6000
江苏国际,http://121.237.53.178:8888/rtp/239.49.0.22:8168#http://121.237.53.178:8888/rtp/239.49.1.23:6000
江苏教育,http://121.237.53.178:8888/rtp/239.49.0.23:8176#http://121.237.53.178:8888/rtp/239.49.1.25:6000
纪实,http://121.237.53.178:8888/rtp/239.49.1.151:6000
全纪录,http://121.237.53.178:8888/rtp/239.49.1.162:6000
江苏公共-新闻,http://121.237.53.178:8888/rtp/239.49.0.149:9186#http://121.237.53.178:8888/rtp/239.49.1.22:6000
靓妆频道,http://121.237.53.178:8888/rtp/239.49.0.150:9194#http://121.237.53.178:8888/rtp/239.49.1.26:6000
GTV游戏竞技,http://121.237.53.178:8888/rtp/239.49.0.162:9290#http://121.237.53.178:8888/rtp/239.49.1.71:6000
中华美食,http://121.237.53.178:8888/rtp/239.49.0.163:9298#http://121.237.53.178:8888/rtp/239.49.1.70:6000
CCTV第一剧场,http://121.237.53.178:8888/rtp/239.49.0.44:8000#http://121.237.53.178:8888/rtp/239.49.1.226:6000
央广健康,http://121.237.53.178:8888/rtp/239.49.1.104:6000
CCTV电视指南,http://121.237.53.178:8888/rtp/239.49.0.161:9282#http://121.237.53.178:8888/rtp/239.49.1.60:6000
CCTV国防军事,http://121.237.53.178:8888/rtp/239.49.0.160:9274#http://121.237.53.178:8888/rtp/239.49.1.64:6000
CCTV女性时尚,http://121.237.53.178:8888/rtp/239.49.0.159:9266#http://121.237.53.178:8888/rtp/239.49.1.69:6000
CCTV怀旧剧场,http://121.237.53.178:8888/rtp/239.49.0.157:9250#http://121.237.53.178:8888/rtp/239.49.1.67:6000
CCTV文化精品,http://121.237.53.178:8888/rtp/239.49.0.156:9242#http://121.237.53.178:8888/rtp/239.49.1.66:6000
CCTV世界地理,http://121.237.53.178:8888/rtp/239.49.0.155:9234#http://121.237.53.178:8888/rtp/239.49.1.63:6000
CCTV高尔夫网球,http://121.237.53.178:8888/rtp/239.49.0.154:9226#http://121.237.53.178:8888/rtp/239.49.1.62:6000
CCTV风云足球,http://121.237.53.178:8888/rtp/239.49.0.153:9218#http://121.237.53.178:8888/rtp/239.49.1.61:6000
CCTV风云剧场,http://121.237.53.178:8888/rtp/239.49.0.152:9210#http://121.237.53.178:8888/rtp/239.49.1.65:6000
CCTV风云音乐,http://121.237.53.178:8888/rtp/239.49.0.151:9202#http://121.237.53.178:8888/rtp/239.49.1.68:6000
书画频道,http://121.237.53.178:8888/rtp/239.49.0.123:8000#http://121.237.53.178:8888/rtp/239.49.1.227:6000
凤凰-资讯,http://121.237.53.178:8888/rtp/239.49.1.155:6000
SUNTV阳光卫视,http://121.237.53.178:8888/rtp/239.49.1.156:6000
第一财经169,http://121.237.53.178:8888/rtp/239.49.1.168:6000#http://121.237.53.178:8888/rtp/239.49.1.199:6000
金色频道,http://121.237.53.178:8888/rtp/239.49.1.169:6000
都市剧场,http://121.237.53.178:8888/rtp/239.49.1.170:6000
动漫秀场-标清,http://121.237.53.178:8888/rtp/239.49.1.171:6000
法治天地,http://121.237.53.178:8888/rtp/239.49.1.174:6000
七彩戏剧,http://121.237.53.178:8888/rtp/239.49.1.175:6000
欢笑剧场-标清,http://121.237.53.178:8888/rtp/239.49.1.176:6000
游戏风云-标清,http://121.237.53.178:8888/rtp/239.49.1.177:6000
max极速汽车2?,http://121.237.53.178:8888/rtp/239.49.1.178:6000
魅力音乐,http://121.237.53.178:8888/rtp/239.49.1.179:6000
劲爆体育-标清,http://121.237.53.178:8888/rtp/239.49.1.180:6000
生活时尚-标清,http://121.237.53.178:8888/rtp/239.49.1.181:6000
东方财经-浦东?,http://121.237.53.178:8888/rtp/239.49.1.182:6000
电竞世界-标清,http://121.237.53.178:8888/rtp/239.49.1.189:6000
游戏风云-标清2?,http://121.237.53.178:8888/rtp/239.49.1.193:6000
广东南方卫视TVS2,http://121.237.53.178:8888/rtp/239.49.1.249:6000#http://121.237.53.178:8888/rtp/239.49.0.234:8000
山东教育SDETV,http://121.237.53.178:8888/rtp/239.49.1.250:6000#http://121.237.53.178:8888/rtp/239.49.0.235:8000
湖南先锋乒羽,http://121.237.53.178:8888/rtp/239.49.0.145:8000#http://121.237.53.178:8888/rtp/239.49.1.233:6000
湖南茶频道,http://121.237.53.178:8888/rtp/239.49.1.234:6000#http://121.237.53.178:8888/rtp/239.49.0.146:8000
湖南快乐垂钓,http://121.237.53.178:8888/rtp/239.49.0.114:8000#http://121.237.53.178:8888/rtp/239.49.1.225:6000
搏击俱乐部,http://121.237.53.178:8888/rtp/239.49.1.99:6000
宿迁公共,http://121.237.53.178:8888/rtp/239.49.1.123:6000
泗洪综合,http://121.237.53.178:8888/rtp/239.49.1.125:6000
常州公共,http://121.237.53.178:8888/rtp/239.49.1.131:6000
常州生活,http://121.237.53.178:8888/rtp/239.49.1.132:6000
常州都市,http://121.237.53.178:8888/rtp/239.49.1.133:6000
常州新闻综合,http://121.237.53.178:8888/rtp/239.49.1.134:6000
常州-未知,http://121.237.53.178:8888/rtp/239.49.1.135:6000
